id,platform_unit_id,station_id,station_name,unit_name,connector_name,collected_at
2790,0419,1298,PTT Station Krabi,CC (200A Max Current),ซ้าย-A,2026-06-18 14:03:27
2791,0419,1298,PTT Station Krabi,CC (200A Max Current),ขวา-B,2026-06-18 14:03:27
2795,0419,1462,PTT Station Krabi P.N. Oil,CC (200A Max Current),ซ้าย-A,2026-06-18 14:04:44
2796,0419,1462,PTT Station Krabi P.N. Oil,CC (200A Max Current),ขวา-B,2026-06-18 14:04:44
2919,0475,1262,PTT Station Manita Oil and Service (Talad Mai),CC (200A Max Current),ซ้าย-A,2026-06-18 14:40:30
2920,0475,1262,PTT Station Manita Oil and Service (Talad Mai),CC (200A Max Current),ขวา-B,2026-06-18 14:40:30
2917,0475,1997,PTT Station Manita Oil and Service,CC (200A Max Current),ซ้าย-A,2026-06-18 14:39:54
2918,0475,1997,PTT Station Manita Oil and Service,CC (200A Max Current),ขวา-B,2026-06-18 14:39:54
4082,1046,827,PTT Station Chiang Rai Kittirat,CC (200A Max Current),ซ้าย ที-2,2026-06-19 01:28:19
4083,1046,827,PTT Station Chiang Rai Kittirat,CC (200A Max Current),กลาง-A,2026-06-19 01:28:19
4084,1046,827,PTT Station Chiang Rai Kittirat,CC (200A Max Current),ขวา-B,2026-06-19 01:28:19
2413,1046,935,PTT Station Chiang Rai Kittirat (Wiang Pa Pao),CC (200A Max Current),ซ้าย ที-2,2026-06-18 12:33:49
2414,1046,935,PTT Station Chiang Rai Kittirat (Wiang Pa Pao),CC (200A Max Current),กลาง-A,2026-06-18 12:33:49
2415,1046,935,PTT Station Chiang Rai Kittirat (Wiang Pa Pao),CC (200A Max Current),ขวา-B,2026-06-18 12:33:49
3949,1123,1805,PTT Station Thiti Petroleum,CC (200A Max Current),กลาง-A,2026-06-18 21:26:20
3950,1123,1805,PTT Station Thiti Petroleum,CC (200A Max Current),ขวา-B,2026-06-18 21:26:20
3951,1123,2079,PTT Station Thiti Petroleum (2014),CC (200A Max Current),กลาง-A,2026-06-18 21:26:55
3952,1123,2079,PTT Station Thiti Petroleum (2014),CC (200A Max Current),ขวา-B,2026-06-18 21:26:55
3576,1128,835,PTT Station San Kamphaeng 3,CC (200A Max Current),ซ้าย ที-2,2026-06-18 19:52:09
3577,1128,835,PTT Station San Kamphaeng 3,CC (200A Max Current),กลาง-A,2026-06-18 19:52:09
3578,1128,835,PTT Station San Kamphaeng 3,CC (200A Max Current),ขวา-B,2026-06-18 19:52:09
3573,1128,1525,PTT Station San Kamphaeng,CC (200A Max Current),ซ้าย ที-2,2026-06-18 19:51:30
3574,1128,1525,PTT Station San Kamphaeng,CC (200A Max Current),กลาง-A,2026-06-18 19:51:30
3575,1128,1525,PTT Station San Kamphaeng,CC (200A Max Current),ขวา-B,2026-06-18 19:51:30
3396,1156,1565,PTT Station Puncharoen Group,CC (200A Max Current),ซ้าย ที-2,2026-06-18 18:05:23
3397,1156,1565,PTT Station Puncharoen Group,CC (200A Max Current),กลาง-A,2026-06-18 18:05:23
3398,1156,1565,PTT Station Puncharoen Group,CC (200A Max Current),ขวา-B,2026-06-18 18:05:23
3399,1156,1849,PTT Station Puncharoen Group (2),CC (200A Max Current),ซ้าย ที-2,2026-06-18 18:06:02
